titulo,bajada,cuerpo,nombre_medio,tipo_medio,fecha,seccion,sentiment
Valparaíso es tercera en comunas con más delitos vinculados al crimen organizado,,"Seguridad. Informe de la Universidad San Sebastián identificó 4.704 ilícitos en 2022-23 y sólo es superada por Santiago y Pudahuel. A nivel regional le siguen San Antonio, Viña del Mar, Los Andes, Quilpué, Quillota y San Felipe. Especialista plantea desafíos. Pág. 3",El Mercurio,3,2025-04-14,N/A,0.5364933947461672
Lo asesinaron a balazos al interior de una barbería en Limache 6,,Seguridad Pública y Carabineros detuvieron a tres estafadores en La Cruz 2 Joven se ganó $1 millón de pesos por encontrar raro billete en Quillota 3 Emergencia por fuga de gas obliga a evacuar seis colegios en Los Andes 7,El Observador Quillota - Aconcagua,3,2025-04-07,N/A,0.6459227467811159
Desbaratan célula del Tren de Aragua en la Región de Valparaíso,,Los Andes implementa programa de apoyo integral a niños y jóvenes con TEA 2 Pirópolis: documental sobre Bomberos de Valparaíso anuncia estreno en Teatro Condell 6 Daniel 'Popín' Castro y presente de Deportes Limache: 'Vamos a seguir buscando el triunfo' 14,El Observador Quillota - Aconcagua,3,2025-04-02,N/A,0.7677534274329688
Desbaratan a una banda de menores que robaba autos,,"Sus víctimas eran conductores de aplicación Tres delincuentes dedicados a sustraer vehículos en Los Andes, fueron detenidos por Carabineros tras efectuar un nuevo ilícito en el sector de Los Villares",El Trabajo,3,2025-03-05,N/A,0.8531746031746031
Detienen a hombre en Panquehue por tráfico de drogas,,"Se le incautaron diversos tipos de sustancias Detectives de la unidad MT0 de la PDI San Felipe aprehendieron a un sujeto en el sector de La Pirca, tras la denuncia anónima de vecinos del mismo lugar 'FIESTAS DE LA CHAYA' MÁS VIVAS QUE NUNCA.- Un positivo balance realizó el alcalde de la comuna de Putaendo, Mauricio Quiroz, de lo que fue la gran 'Fiesta de la Chaya' 2025, el carnaval más largo de Chile con nueve noches de música, baile, y la oportunidad para emprendedores y comerciantes de la comuna, de poder ofertar sus productos. Al respecto, el edil señaló que «al igual que en años anteriores, hemos cumplido con el propósito de mantener vigente y cada vez más viva la fiesta más importante de Aconcagua, el carnaval de La Chaya». Elba Julia Galdames Ibaceta: Este sábado realizarán bingo a beneficio de mujer que padece Alzheimer terminal Municipio entrega nuevo plazo para la vuelta del cobro de parquímetros SAN ESTEBAN 'La Chaya' se consolida como la más masiva y exitosa del Valle del Aconcagua Selección de la Abar se queda con positivo cuarto lugar en el Nacional Federado Trasandino de Los Andes inició sus entrenamientos a nada de su estreno en el torneo La 'Fiesta de la Chaya' en el sector de Curimón también fue todo un éxito",El Trabajo,3,2025-02-26,N/A,0.4568835779461669
Temática será planteada al Seremi de OO.PP Activación de pozos causa inquietud en el mundo de los APR,,"La baja que existe en el caudal del Río Aconcagua ha generado que se deban tomar diversas medidas para asegurar el recurso hídrico en nuestro sector Pág. 4 SEGUIMOS CONSTRUYENDO IDENTIDAD LOCAL.- Este 24 de febrero del 2025, Diario El Trabajo celebra con orgullo sus 96 años de historia en el Valle del Aconcagua, consolidándose como uno de los pilares del periodismo local. Fundado en 1929 en la ciudad de San Felipe, El Trabajo ha sido testigo de la evolución social, política y económica de la región, convirtiéndose en la tercera prensa escrita más antigua de la zona, solo después de El Mercurio de Valparaíso (1827) y La Estrella de Valparaíso (1921). Pág. 7 Ceremonia de cierre: Todo un éxito el Taller de Karate Infantil del Departamento de Deportes del municipio Pág. 12 Luz, agua, árboles y otras: Vecinos de San Rafael exponen sus problemáticas Pág. 6 Siete proyectos: Avanzan obras de pavimentos participativos Pág. 3 Sector San Rafael: Esta semana se retoman los trabajos de bacheos Pág. 5 SAN ESTEBAN Esval progresa en renovación de redes de agua potable Pág. 5 Hospital Carlos Van Buren: Realizan campaña de donantes de células madres Pág. 9 Masculino Sub-13: Rinconada subcampeona en Nacional de fútbol Pág. 10 Agustín Almarza: Trasandino de Los Andes ya tiene nuevo entrenador Pág. 10",El Trabajo,3,2025-02-24,N/A,0.9656416402145597
Dos detenidos por brutal golpiza en caso homofóbico,,"Tercer sujeto sindicado estaría fuera del país Tras la denuncia realizada por la hermana de la víctima, este sábado se realizó el control de detención a dos de los tres autores de este ataque en Los Andes Pág. 9",El Trabajo,3,2025-02-12,N/A,0.5453204876130557
Denuncian brutal y cobarde golpiza en caso de homofobia,,"Con puños y pies le desfiguraron el rostro Dramática es la situación que acusa María Miranda y su familia, tras el salvaje ataque que recibió su hermano por parte de tres sujetos en Los Andes Pág. 4",El Trabajo,3,2025-02-03,N/A,0.783483199242783
Arrecian críticas tras cambio en la Seremi de Transpones,,"Región. Duros cuestionamientos tras la cuarta designación en dicha secretaría en plena crisis de la locomoción pública Regreso de Benigno Retamal, quien dejó el cargo para postular a la alcaldía de Los Andes, es calificado como 'premio de consuelo'. Ad portas de licitación, Camila Flores acusa al Gobierno de 'jugar a la sillita musical', mientras gremios piden avanzan Págs. 2y3",El Mercurio,3,2025-01-19,N/A,0.5541170494779292
En Lampa hallan vivo a joven que fue secuestrado,,"El hombre de 23 años estaba en una acequia Este lunes Nelson Campos Castillo fue liberado en dicha comuna de la Región Metropolitana, después que fuera raptado el pasado sábado en Los Andes Pág. 7",El Trabajo,3,2025-01-14,N/A,0.815369261477047
Un detenido por receptación de vehículo robado,,"Fue devuelto a su legítimo dueño en Pichilemu En la intersección de calle Duco con 12 de Febrero, Carabineros de Los Andes logró la recuperación de un automóvil sustraído el pasado mes de diciembre Pág. 9",El Trabajo,3,2025-01-13,N/A,0.4134615384615383
PASS: 24 estudiantes de la zona lograron resultado destacado,,"Educación. Autoridad felicitó el notable rendimiento de jóvenes de colegios de Valparaíso, Viña, Casablanca y Los Andes. Más de 23 mil alumnos habilitados para acceder a la educación superior. Hubo alza en Matemáticas y Ciencias. Pág. 4",El Mercurio,3,2025-01-07,N/A,0.48525564803804916
Pérdidas totales en casona tras voraz incendio,,Bomberos batallaron el fuego durante horas Condiciones del terreno y alto material combustible hizo que las llamas se descontrolaran rápidamente en vivienda del sector de General del Canto en Los Andes Pág. 9,El Trabajo,3,2024-12-27,N/A,0.7880048488141077
Morosos son 404 mil y deuda promedio es casi $2 millones,,"Región. Viña del Mar concentra el mayor monto en mora con US$ 174 millones en los compromisos impagos acumulados. La Calera, Los Andes y Nogales tienen las tasas de deuda más altas, en tanto débitos en Rapa Nui llegan a media de $ 3 millones. Expertos reconocen baja leve de las cifras, pero dicen que no se debe a capacidad de pago, sino a exigencias de créditos. Pág. 4",El Mercurio,3,2024-12-26,N/A,0.6656826428309542
Realizan ‘lucatón’ en ayuda de niño mordido por perro,,"Ya fue sometido a una cirujía reconstructiva En Los Andes buscan aportar con la reuperación de un menor de 7 años, el que fue atacado por un can 'akita', que le dejó diversas lesiones en el rostro Pág. 5",El Trabajo,3,2024-12-23,N/A,0.40357642777155633
"Abogados del Presidente no logran despejar dudas sobre ""pesquisa"" de la denuncia y fiscalía indaga acceso a nivel interno o mediante policías",,"Hasta ahora es la principal línea investigativa: Representante legal del mandatario defiende su método para seguimiento de causas con el RUT —'hoy se deshabilitó', asegura—, pero penalistas se dividen sobre el procedimiento. El jefe de Estado se refiere por primera vez a la acusación en su contra que dio a conocer la noche del lunes. En su intervención, de menos de un minuto, respalda la vocería que generó polémica. Debilidad de la imputación Arista sobre eventual difusión de imágenes privadas por parte del gobernante pierde fuerza, según investigadores. Matthei llama a no politizar el caso 'Me parece que hay que ser extraordinariamente rigurosos, cuidadosos y prudentes con este tipo de acusaciones', afirma. Editorial: > 'Dejar por demasiado tiempo abierto un proceso contra el primer mandatario que no tenga destino genera un injustificado dallo a la figura presidencial'. Una referencia de poco más de 30 segundos, contra 53 minutos; apegado a los apuntes, en vez de improvisar; sin aceptar preguntas de la prensa esta vez, en contraste con más de 30 interrogantes respondidas, son algunas diferencias en la estrategia comunicacional del Presidente Boric para abordar ayer en Colina la denuncia en su contra en comparación a lo hecho en Lampa el 18 de octubre respecto de la presentada contra el exsubsecretario Monsalve. 'Hoy día estoy aquí para preocuparnos de lo que realmente les importa a los chilenos y las chilenas', sostuvo el jefe de Estado OTROS INTEGRANTES DEL COMITÉ POLÍTICO RESPONDEN POR ACUSACIÓN, MIENTRAS LA MINISTRA DE LA MUJER CONTINÚA EN SILENCIO C0 a C3 y A3",El Mercurio,3,2024-11-29,N/A,0.999219890827288
En prisión quedaron cuatro ex carabineros del OS7 de San Felipe 7,,Motorista murió en la autopista entre Quillota y La Cruz 3 Camionero falleció en la cuesta Caracoles en Los Andes 4 Deportes Limache juega esta noche el partido más importante de su historia 9,El Observador Quillota - Aconcagua,3,2024-11-26,N/A,0.19776609724047273
De baja 6 carabineros del OS7 Aconcagua por drogas y otros delitos,,"Eran investigados desde principios de año Los funcionarios fueron detenidos por sus propios colegas provenientes de otras ciudades del país, allanando dependencias en San Felipe y Los Andes Pág. 9",El Trabajo,3,2024-11-22,N/A,0.8017573939134159
Murió acribillado frente a su familia en Lo Vásquez 3,,"Joven conductora chocó contra barreras de la Autopista Los Andes 3 Museo La Ligua ofrece domo planetario, exposiciones y actividades al aire libre 4 Implementan sistema autónomo de riego para frutales, hortalizas y cultivos 11",El Observador Quillota - Aconcagua,3,2024-10-08,N/A,0.5374999999999999
Recuperan 6 de los 18 vehículos robados en Stgo.,,"Recobrados por Carabineros tras robo a una automotora el domingo recién pasado en la Región Metropolitana, a través del método popularmente conocido como 'turbazo' Pág. 9 La mayoría en la provincia de Los Andes",El Trabajo,3,2024-07-10,N/A,0.5374999999999995
